ID,Station Address,Total Number of Chargers,DC,AC,Total Station Capacity (KW),Total Charger Bays,DC Charger Bays,AC Charger Bays,DC_Capacity_kW,AC_Capacity_kW,Postcode,Latitude,Longitude,Avg_AC_Hours,Avg_DC_Hours,AC_revenue (RM),DC_revenue (RM),Total_revenue (RM),population,ADT,Peak_Hour
3,"Mukim Hulu Lepar, Daerah Kuantan, 26300 Negeri Pahang",1,1,0,50,1,1,0,50,0,26300,3.809554,103.160203,0.0,2.65,0.0,132.5,132.5,49.4,26873,No
6,"Blh Ecoenergy Sdn. Bhd., A1, Tingkat Bawah, Lorong Seri Setali 1, Jalan Air Putih, 25300 Kuantan, Negeri Pahang",2,2,0,44,2,2,0,44,0,25300,3.841799328529357,103.33686783830244,0.0,2.77,0.0,121.88,121.88,61.2,37159,No
25,"Petronas R&R Gambang Lebuhraya Pantai Timur (Eastbound), Mukim Hulu Lepar, Daerah Kuantan 25150 Pahang",2,2,0,180,2,2,0,180,0,25150,3.718008049833729,103.12495822379375,0.0,3.07,0.0,552.6,552.6,29.0,26454,No
57,"Ground Floor, Berjaya Megamall, Lot G15, Jalan Tun Ismail,Sri Dagangan Kuantan Kuantan 25000 Pahang",2,0,2,33,2,0,2,0,33,25000,3.815410601157337,103.33012659980363,9.63,0.0,174.78,0.0,174.78,29.0,16420,No
58,"Pl- Hadapan Bangunan Mbk Jalan Tanah Putih, Tanah Putih, 25100 Kuantan Pahang Kuantan Kuantan 25100 Pahang",2,0,2,33,2,0,2,0,33,25100,3.797762016103057,103.3220722152441,9.05,0.0,164.26,0.0,164.26,29.0,28990,No
59,"Tempat Letak Kenderaan Awam Berhadapan Megaview Hotel, 567, Jalan Besar Kuantan Kuantan 25000 Pahang",2,0,2,51,2,0,2,0,51,25000,3.805868982826525,103.3292651400137,9.52,0.0,267.04,0.0,267.04,29.0,22011,No
96,"Pl-Hadapan Dinasour Encounter Zoo Teruntum, Jln Padang Golf Kuantan Kuantan 25050 Pahang",2,0,2,33,2,0,2,0,33,25050,3.808833571940506,103.3658595440147,8.56,0.0,155.36,0.0,155.36,29.0,25379,No
116,Pl-Hadapan Empire Seafood Restaurant Kuantan Kuantan 25000 Pahang,2,0,2,33,2,0,2,0,33,25000,3.817343773064012,103.3296588061276,8.39,0.0,152.28,0.0,152.28,29.0,17638,No
117,"Pl-Hadapan Loteng, Jln Tengku Abu Bakar, Pusat Rekreasi Teluk Cempedak Kuantan Kuantan 25050 Pahang",3,0,3,33,3,0,3,0,33,25050,3.815887887418381,103.37210207777056,10.55,0.0,191.48,0.0,191.48,29.0,25823,No
118,"Pl-Berhadapan Mcdonald'S Kuantan Riverfront Dt, Jalan Tanah Putih, 25100 Kuantan, Pahang",2,0,2,33,2,0,2,0,33,25100,3.799295810424268,103.32255108465964,11.26,0.0,204.37,0.0,204.37,29.0,19472,No
124,"Tempat Letak Kenderaan Awam Berhadapan Kemaman Kopitiam Berserah, Jalan Berserah, Taman Metro, 25250 Kuantan, Pahang.",2,0,2,33,2,0,2,0,33,25250,3.8285313704252695,103.33958847479336,11.04,0.0,200.38,0.0,200.38,70.4,47429,No
127,"Pl-Berhadapan Starbucks, Jalan Tengku Abu Bakar, Pusat Rekreasi Teluk Cempedak, 25050 Kuantan, Pahang",1,1,0,30,2,2,0,30,0,25050,3.812494091683121,103.37208295752384,0.0,2.04,0.0,61.2,61.2,29.0,27827,No
163,"Petak Meletak Kereta Pelawat, Hyatt Regency Kuantan Resort, Di Lot No. 1, Hyatt Regency Kuantan Resort, Telok Chempedak, 25050 Kuantan, Pahang",2,0,2,44,2,0,2,0,44,25050,3.811546891901587,103.37135657284688,9.62,0.0,232.8,0.0,232.8,29.0,29777,No
169,"Pl-Berhadapan Mahkota Square, Jalan Mahkota, 25000 Kuantan, Negeri Pahang",2,1,1,33,2,1,1,22,11,25000,3.806343224093929,103.3278751691334,9.51,3.88,57.54,85.36,142.9,29.0,27517,No
197,"Starbucks Indera Mahkota Dt, 14, Jln Im 7/1, Bandar Indera Mahkota, 25200 Kuantan, Pahang",1,1,0,60,2,2,0,60,0,25200,3.8342650109189433,103.29954654417546,0.0,3.85,0.0,231.0,231.0,133.0,69067,Yes
251,"Pesat Ctm, Lot 3588 Jalan Seri Teruntum 6 Off Jalan Tanah Putih, Mukim Bandar Kuantan, Daerah Kuantan, 25100 Pahang",1,1,0,120,2,2,0,120,0,25100,3.794678569085369,103.31303084403778,0.0,2.58,0.0,309.6,309.6,29.0,26326,No
270,"Pl-Berhampiran Cherating Pond, Kampung Budaya Cherating, Jln Kuantan-Kemaman Kuantan Kuantan 26080 Pahang",1,0,1,60,1,0,1,0,60,26080,4.133541073121427,103.39895301277284,8.84,0.0,291.72,0.0,291.72,19.2,14513,No
271,"Pl-The Zenith Hotel, Jln Putra Square 6, Putra Square Kuantan Kuantan 25200 Pahang",3,0,3,204,3,0,3,0,204,25200,3.8194487001449007,103.32605755753156,11.42,0.0,1281.32,0.0,1281.32,133.0,68698,Yes
301,"Ys Autoworld Sdn. Bhd., Lot Pt 6299, Jalan Seri Setali 2, Kawasan Perindustrian Semambu Kuala Kuantan, 25350 Kuantan, Pahang",1,1,0,120,2,2,0,120,0,25350,3.8480627034807817,103.3372799190428,0.0,3.97,0.0,476.4,476.4,133.0,58168,No
338,"Pl-Hadapan Medan Selera Bazar Serambi Teruntum, 26060 Kuantan Pahang. Kuantan Kuantan 26060 Pahang",2,0,2,14,2,0,2,0,14,26060,3.803190725043531,103.33716628446318,10.23,0.0,78.77,0.0,78.77,49.4,20184,No
339,"Pl-Mcdonald'S Indera Mahkota, Lorong Im 8/33, Bandar Indera Mahkota, 25200 Kuantan Pahang. Kuantan Kuantan 25200 Pahang",1,1,0,60,2,2,0,60,0,25200,3.825755673919271,103.30445944037535,0.0,2.46,0.0,147.6,147.6,133.0,63558,Yes
422,"The Kasturi Resort Cherating Km 32.5, Jalan Kuantan, Kemaman Cherating 26080 Pahang",2,0,2,44,2,0,2,0,44,26080,4.164229411294701,103.4106495730106,11.69,0.0,282.9,0.0,282.9,19.2,14373,No
503,"Pl-Hadapan Bangunan Texas, Majlis Bandaraya Kuantan, Jln Tanah Putih Kuantan Kuantan 25100 Pahang",1,1,0,250,4,4,0,250,0,25100,3.79846805267836,103.32195695767022,0.0,2.55,0.0,765.0,765.0,29.0,28989,No
646,"Lot 20 & 21, Section 22, Jln Teluk Sisek, Kuantan 25000 Pahang",1,1,0,160,2,2,0,160,0,25000,3.810307996865336,103.33103355216213,0.0,3.57,0.0,571.2,571.2,29.0,21946,No
670,"2656~2657, Mukim Balok Beach Beserah Balok Kuantan 26100 Pahang",1,1,0,60,2,2,0,60,0,26100,3.911132596264498,103.3653018423298,0.0,3.72,0.0,223.2,223.2,19.2,12775,No
940,"Pahang Skills Development Centre, Kampus Psdc, Lot 150, Taman Perindustrian Semambu, 25350 Kuantan, Pahang",3,0,3,36,3,0,3,0,36,25350,3.855975386443948,103.31972957485624,10.88,0.0,215.42,0.0,215.42,133.0,59426,No
947,"Pl-East Coast Mall, Ground Floor, Jln Putra Square, 25200 Kuantan, Pahang",2,0,2,44,2,0,2,0,44,25200,3.818593010403264,103.32624279980357,8.8,0.0,212.96,0.0,212.96,133.0,62617,Yes
948,"Pl-Kuantan City Mall, Ground Floor, Jln Putra Square, Kuantan Kuantan 25200 Pahang",2,0,2,44,2,0,2,0,44,25200,3.817929299100465,103.32799159997153,8.17,0.0,197.71,0.0,197.71,133.0,79465,Yes
1015,"Pl-Gerai Batu Hitam, Jln Berserah, Kampung Baharu, Kuantan, 26100 Kuantan, Pahang",1,1,0,60,2,2,0,60,0,26100,3.879600938255358,103.36593771534038,0.0,3.26,0.0,195.6,195.6,19.2,12576,No
1150,"Ac Hotel Kuantan, Basement 1, Parking Lot No. 43 & 44, Jln Teluk Sisek, 25000 Kuantan Pahang",2,0,2,44,2,0,2,0,44,25000,3.8167776260257873,103.33670999995282,10.49,0.0,253.86,0.0,253.86,29.0,19969,No
1301,"Kuantan Citymall, Jalan Putra Square 6/1, Kuantan Kuantan 25300 Pahang",3,1,2,142,4,2,2,120,22,25300,3.817881700542865,103.32803607105998,9.2,2.11,111.32,253.2,364.52,61.2,40081,Yes
1362,"Lot A, One Suria, Jalan Sultan Ahmad Shah, Bandar Indera Mahkota Mukim Kuala Kuantan Kuantan 25200 Pahang",2,2,0,240,4,4,0,240,0,25200,3.8367929958139513,103.30368354417548,0.0,3.57,0.0,1028.16,1028.16,133.0,60677,Yes
1368,"Ground Floor, Lot 6 Kuala Kuantan Kuantan 25200 Pahang",2,2,0,240,2,2,0,240,0,25200,3.819536701358897,103.32740499857452,0.0,3.93,0.0,1131.84,1131.84,133.0,58009,No
1443,Perbadanan Kemajuan Pertanian Negeri Pahang Kuantan Kuantan 25990 Pahang,2,0,2,44,2,0,2,0,44,25990,3.8109110176242487,103.32791866931922,11.86,0.0,287.01,0.0,287.01,30.6,16326,No
1727,"Tasek Commercial Centre, Persiaran Kotasas, Kota Sultan Ahmad Shah, Mukim Kuala Kuantan, 25200 Kuantan, Pahang",1,1,0,100,2,2,0,100,0,25200,3.871106074096324,103.2746534171062,0.0,3.28,0.0,328.0,328.0,133.0,52021,Yes
